time_ms,V_mV,m,h,n,I_inj_uA_per_cm2
2.58,-64.99350917965972,0.052971032714946395,0.5960837706455047,0.31770078489017944,0.0
2.59,-64.99349822054201,0.0529711161810096,0.5960835474835396,0.3177009233987508,0.0
2.6,-64.99348735923569,0.05297119901280372,0.5960833241334674,0.3177010619612891,0.0
2.61,-64.99347659555126,0.05297128121132072,0.5960831005995265,0.3177012005749491,0.0
2.62,-64.99346592929815,0.05297136277756056,0.5960828768859427,0.317701339236896,0.0
2.63,-64.99345536028476,0.052971443712531124,0.5960826529969291,0.31770147794430553,0.0
2.64,-64.9934448883184,0.05297152401724819,0.5960824289366858,0.31770161669436403,0.0
2.65,-64.99343451320534,0.05297160369273533,0.5960822047094004,0.3177017554842683,0.0
2.66,-64.99342423475085,0.05297168274002392,0.5960819803192473,0.3177018943112259,0.0
2.67,-64.99341405275915,0.05297176116015303,0.596081755770388,0.31770203317245477,0.0
2.68,-64.99340396703343,0.052971838954169376,0.5960815310669714,0.31770217206518353,0.0
2.69,-64.99339397737589,0.0529719161231273,0.596081306213133,0.3177023109866514,0.0
2.7,-64.99338408358771,0.052971992668088705,0.5960810812129959,0.3177024499341083,0.0
2.71,-64.99337428546909,0.05297206859012297,0.5960808560706695,0.31770258890481456,0.0
2.72,-64.99336458281923,0.05297214389030694,0.5960806307902508,0.3177027278960413,0.0
2.73,-64.99335497543633,0.052972218569724845,0.5960804053758232,0.3177028669050702,0.0
2.74,-64.99334546311766,0.05297229262946826,0.5960801798314574,0.31770300592919365,0.0
2.75,-64.99333604565949,0.05297236607063605,0.5960799541612111,0.31770314496571467,0.0
2.7600000000000002,-64.99332672285713,0.052972438894334326,0.5960797283691284,0.3177032840119469,0.0
2.77,-64.99331749450498,0.052972511101676376,0.5960795024592406,0.3177034230652147,0.0
2.7800000000000002,-64.99330836039644,0.05297258269378262,0.5960792764355657,0.31770356212285306,0.0
2.79,-64.99329932032401,0.05297265367178056,0.5960790503021085,0.31770370118220764,0.0
2.8000000000000003,-64.99329037407927,0.052972724036804746,0.5960788240628607,0.31770384024063486,0.0
2.81,-64.99328152145284,0.05297279378999669,0.5960785977218006,0.31770397929550176,0.0
2.82,-64.99327276223447,0.05297286293250484,0.5960783712828933,0.31770411834418616,0.0
2.83,-64.99326409621298,0.05297293146548453,0.5960781447500906,0.3177042573840765,0.0
2.84,-64.9932555231763,0.0529729993900979,0.5960779181273309,0.317704396412572,0.0
2.85,-64.99324704291146,0.052973066707513894,0.5960776914185395,0.31770453542708255,0.0
2.86,-64.99323865520464,0.052973133418908164,0.5960774646276282,0.31770467442502875,0.0
2.87,-64.99323035984109,0.05297319952546304,0.5960772377584954,0.31770481340384205,0.0
2.88,-64.99322215660524,0.05297326502836749,0.5960770108150261,0.31770495236096447,0.0
2.89,-64.99321404528064,0.052973329928817044,0.5960767838010919,0.3177050912938489,0.0
2.9,-64.99320602565,0.052973394228013775,0.5960765567205509,0.3177052301999589,0.0
2.91,-64.99319809749515,0.05297345792716621,0.5960763295772481,0.3177053690767688,0.0
2.92,-64.99319026059713,0.052973521027489326,0.5960761023750145,0.3177055079217636,0.0
2.93,-64.99318251473612,0.052973583530204454,0.596075875117668,0.31770564673243923,0.0
2.94,-64.99317485969148,0.05297364543653928,0.5960756478090129,0.31770578550630224,0.0
2.95,-64.99316729524176,0.05297370674772774,0.5960754204528398,0.31770592424087,0.0
